timestamp,phase,curriculum_phase,round,episode,opponent,epsilon,outcome,p1_moves,p2_moves,total_reward,step_reward,hit_reward,miss_reward,sink_reward,win_reward,loss_reward
2025-12-02T00:47:54.681270+00:00,train,bootcamp,1,233,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.681421+00:00,train,bootcamp,1,234,self,1.0,0,96,,-52.79999999999992,-52.79999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.681619+00:00,train,bootcamp,1,235,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.681819+00:00,train,bootcamp,1,236,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.682060+00:00,train,bootcamp,1,237,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.682319+00:00,train,bootcamp,1,238,self,1.0,0,96,,-52.79999999999992,-52.79999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.682508+00:00,train,bootcamp,1,239,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.682813+00:00,train,bootcamp,1,240,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.683032+00:00,train,bootcamp,1,241,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.683230+00:00,train,bootcamp,1,242,self,1.0,0,94,,-51.699999999999925,-51.699999999999925,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.683476+00:00,train,bootcamp,1,243,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.683654+00:00,train,bootcamp,1,244,self,1.0,0,91,,-50.04999999999993,-50.04999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.683929+00:00,train,bootcamp,1,245,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.684156+00:00,train,bootcamp,1,246,self,1.0,0,85,,-46.74999999999995,-46.74999999999995,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.684442+00:00,train,bootcamp,1,247,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.684764+00:00,train,bootcamp,1,248,self,1.0,0,81,,-44.54999999999996,-44.54999999999996,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.684993+00:00,train,bootcamp,1,249,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.685170+00:00,train,bootcamp,1,250,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.686228+00:00,train,bootcamp,1,251,self,1.0,0,94,,-51.699999999999925,-51.699999999999925,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.686505+00:00,train,bootcamp,1,252,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.686669+00:00,train,bootcamp,1,253,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.686827+00:00,train,bootcamp,1,254,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.687091+00:00,train,bootcamp,1,255,self,1.0,0,87,,-47.849999999999945,-47.849999999999945,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.687299+00:00,train,bootcamp,1,256,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.687454+00:00,train,bootcamp,1,257,self,1.0,0,96,,-52.79999999999992,-52.79999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.687628+00:00,train,bootcamp,1,258,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.687781+00:00,train,bootcamp,1,259,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.687927+00:00,train,bootcamp,1,260,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.688072+00:00,train,bootcamp,1,261,self,1.0,0,69,,-37.949999999999996,-37.949999999999996,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.688215+00:00,train,bootcamp,1,262,self,1.0,0,89,,-48.94999999999994,-48.94999999999994,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.688360+00:00,train,bootcamp,1,263,self,1.0,0,85,,-46.74999999999995,-46.74999999999995,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.688505+00:00,train,bootcamp,1,264,self,1.0,0,94,,-51.699999999999925,-51.699999999999925,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.688648+00:00,train,bootcamp,1,265,self,1.0,0,89,,-48.94999999999994,-48.94999999999994,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.688791+00:00,train,bootcamp,1,266,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.688934+00:00,train,bootcamp,1,267,self,1.0,0,96,,-52.79999999999992,-52.79999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.689077+00:00,train,bootcamp,1,268,self,1.0,0,94,,-51.699999999999925,-51.699999999999925,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.689219+00:00,train,bootcamp,1,269,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.689367+00:00,train,bootcamp,1,270,self,1.0,0,96,,-52.79999999999992,-52.79999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.689509+00:00,train,bootcamp,1,271,self,1.0,0,76,,-41.799999999999976,-41.799999999999976,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.689651+00:00,train,bootcamp,1,272,self,1.0,0,84,,-46.19999999999995,-46.19999999999995,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.689792+00:00,train,bootcamp,1,273,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.689934+00:00,train,bootcamp,1,274,self,1.0,0,94,,-51.699999999999925,-51.699999999999925,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.690075+00:00,train,bootcamp,1,275,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.690217+00:00,train,bootcamp,1,276,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.690360+00:00,train,bootcamp,1,277,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.690504+00:00,train,bootcamp,1,278,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.690648+00:00,train,bootcamp,1,279,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.690793+00:00,train,bootcamp,1,280,self,1.0,0,93,,-51.14999999999993,-51.14999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.690943+00:00,train,bootcamp,1,281,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.691098+00:00,train,bootcamp,1,282,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.691251+00:00,train,bootcamp,1,283,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.691394+00:00,train,bootcamp,1,284,self,1.0,0,96,,-52.79999999999992,-52.79999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.691557+00:00,train,bootcamp,1,285,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.691700+00:00,train,bootcamp,1,286,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.691907+00:00,train,bootcamp,1,287,self,1.0,0,96,,-52.79999999999992,-52.79999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.692050+00:00,train,bootcamp,1,288,self,1.0,0,88,,-48.39999999999994,-48.39999999999994,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.692191+00:00,train,bootcamp,1,289,self,1.0,0,89,,-48.94999999999994,-48.94999999999994,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.692331+00:00,train,bootcamp,1,290,self,1.0,0,96,,-52.79999999999992,-52.79999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.692471+00:00,train,bootcamp,1,291,self,1.0,0,91,,-50.04999999999993,-50.04999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.692611+00:00,train,bootcamp,1,292,self,1.0,0,92,,-50.59999999999993,-50.59999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.692751+00:00,train,bootcamp,1,293,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.692892+00:00,train,bootcamp,1,294,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.693034+00:00,train,bootcamp,1,295,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.693175+00:00,train,bootcamp,1,296,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.693317+00:00,train,bootcamp,1,297,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.693458+00:00,train,bootcamp,1,298,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.693599+00:00,train,bootcamp,1,299,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.693739+00:00,train,bootcamp,1,300,self,1.0,0,92,,-50.59999999999993,-50.59999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.693882+00:00,train,bootcamp,1,301,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.694022+00:00,train,bootcamp,1,302,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.694161+00:00,train,bootcamp,1,303,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.694301+00:00,train,bootcamp,1,304,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
